"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8158976"	"0.000808"	"2.50e-08"	"-26.930217"	"8.00992"	"-2.4131702"	"CEL"	"carboxyl ester lipase"
"7965094"	"0.002346"	"1.45e-07"	"-20.885812"	"7.14924"	"-1.789158"	"E2F7"	"E2F transcription factor 7"
"8050702"	"0.003956"	"3.88e-07"	"-18.108572"	"6.56041"	"-1.8668412"	"TP53I3"	"tumor protein p53 inducible protein 3"
"7907893"	"0.003956"	"4.90e-07"	"-17.503545"	"6.40923"	"-1.4527086"	"MR1"	"major histocompatibility complex, class I-related"
"7934906"	"0.003962"	"6.13e-07"	"-16.939509"	"6.25965"	"-1.2383394"	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"
"7942832"	"0.004083"	"8.32e-07"	"-16.199401"	"6.04967"	"-1.1449498"	"DDIAS"	"D0 damage induced apoptosis suppressor"
"7939738"	"0.004083"	"8.84e-07"	"-16.055555"	"6.00694"	"-1.1844831"	"DDB2"	"damage specific D0 binding protein 2"
"7982792"	"0.00553"	"1.43e-06"	"-14.956733"	"5.65804"	"-1.1011643"	"RAD51"	"RAD51 recombinase"
"8142079"	"0.00553"	"1.54e-06"	"-14.801693"	"5.60541"	"-1.2229491"	"EFCAB10"	"EF-hand calcium binding domain 10"
"8066619"	"0.006437"	"2.14e-06"	"-14.102796"	"5.35678"	"-1.4240159"	"PLTP"	"phospholipid transfer protein"
"8171472"	"0.006437"	"2.28e-06"	"-13.96942"	"5.30711"	"-1.1906467"	"TMEM27"	"transmembrane protein 27"
"7956046"	"0.006437"	"2.39e-06"	"-13.874482"	"5.27131"	"-1.5785377"	"DGKA"	"diacylglycerol kinase alpha"
"8054702"	"0.006734"	"2.71e-06"	"-13.620697"	"5.17373"	"-0.9364355"	"CKAP2L"	"cytoskeleton associated protein 2 like"
"8023043"	"0.006919"	"3.12e-06"	"-13.338466"	"5.0619"	"-1.8017529"	"PSTPIP2"	"proline-serine-threonine phosphatase interacting protein 2"
"7914270"	"0.006919"	"3.48e-06"	"-13.12759"	"4.97599"	"-1.2603429"	"LAPTM5"	"lysosomal protein transmembrane 5"
"8090180"	"0.006919"	"3.62e-06"	"-13.050914"	"4.94424"	"-1.6227181"	"MUC13"	"mucin 13, cell surface associated"
"8177955"	"0.006919"	"3.66e-06"	"-13.027829"	"4.93463"	"-0.9495834"	"MICB"	"MHC class I polypeptide-related sequence B"
"8089875"	"0.006919"	"3.88e-06"	"-12.915463"	"4.88747"	"-1.0959018"	"POLQ"	"D0 polymerase theta"
"8119858"	"0.006919"	"4.12e-06"	"-12.799458"	"4.83814"	"-1.0734342"	"POLH"	"D0 polymerase eta"
"8057959"	"0.006919"	"4.46e-06"	"-12.649442"	"4.77338"	"-0.9164748"	"PGAP1"	"post-GPI attachment to proteins 1"
